# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 20 06:02:50 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
Kepler-178 c,Kepler-178,1,Transit,20.55280200,0.142000,2.880,8.65000,30.55,656,5676.00,1.07,0.94,19h08m24.25s,287.1010275,+46d53m47.05s,46.8964033,716.0250000
Kepler-178 d,Kepler-178,1,Transit,96.67898800,0.397000,3.950,14.80000,3.87,392,5676.00,1.07,0.94,19h08m24.25s,287.1010275,+46d53m47.05s,46.8964033,716.0250000
Kepler-179 b,Kepler-179,1,Transit,2.73592600,0.036000,1.640,3.33000,360.26,1075,5302.00,0.76,0.84,19h54m39.27s,298.6636163,+47d45m42.96s,47.7619329,605.6800000
Kepler-179 c,Kepler-179,1,Transit,6.40013000,0.064000,2.000,4.66000,115.98,810,5302.00,0.76,0.84,19h54m39.27s,298.6636163,+47d45m42.96s,47.7619329,605.6800000
Kepler-18 b,Kepler-18,1,Transit,3.50472500,0.044700,2.000,6.90000,355.74,1165,5345.00,1.11,0.97,19h52m19.07s,298.0794448,+44d44m46.49s,44.7462480,433.0470000
Kepler-18 c,Kepler-18,1,Transit,7.64159000,0.075200,5.490,17.30000,126.08,899,5345.00,1.11,0.97,19h52m19.07s,298.0794448,+44d44m46.49s,44.7462480,433.0470000
Kepler-18 d,Kepler-18,1,Transit,14.85888000,0.117200,6.980,16.40000,51.92,720,5345.00,1.11,0.97,19h52m19.07s,298.0794448,+44d44m46.49s,44.7462480,433.0470000
Kepler-180 b,Kepler-180,1,Transit,13.81712400,0.109000,1.500,2.86000,72.12,781,5731.00,1.06,0.95,19h42m17.10s,295.5712566,+49d46m28.25s,49.7745140,695.6500000
Kepler-180 c,Kepler-180,1,Transit,41.88577500,0.229000,3.010,9.32000,16.42,540,5731.00,1.06,0.95,19h42m17.10s,295.5712566,+49d46m28.25s,49.7745140,695.6500000
Kepler-181 b,Kepler-181,1,Transit,3.13787300,0.040000,1.270,2.15000,255.58,1041,5333.00,0.75,0.85,19h44m36.31s,296.1512831,+50d05m44.81s,50.0957806,609.2830000
Kepler-181 c,Kepler-181,1,Transit,4.30214900,0.049000,1.990,4.62000,168.19,937,5333.00,0.75,0.85,19h44m36.31s,296.1512831,+50d05m44.81s,50.0957806,609.2830000
Kepler-182 b,Kepler-182,1,Transit,9.82579200,0.096000,2.580,7.18000,239.79,935,6250.00,1.15,1.16,19h19m19.23s,289.8301128,+50d35m10.33s,50.5862025,1549.0900000
Kepler-182 c,Kepler-182,1,Transit,20.68434200,0.157000,3.430,11.60000,88.85,729,6250.00,1.15,1.16,19h19m19.23s,289.8301128,+50d35m10.33s,50.5862025,1549.0900000
Kepler-183 b,Kepler-183,1,Transit,5.68794500,0.064000,2.060,4.90000,281.85,1088,5888.00,0.96,0.94,19h34m07.39s,293.5308112,+39d18m57.36s,39.3159329,1050.6400000
Kepler-183 c,Kepler-183,1,Transit,11.63707100,0.103000,2.270,35.70000,108.72,857,5888.00,0.96,0.94,19h34m07.39s,293.5308112,+39d18m57.36s,39.3159329,1050.6400000
Kepler-184 b,Kepler-184,1,Transit,10.68757600,0.092000,2.360,6.17000,70.36,780,5788.00,0.87,0.97,19h27m48.45s,291.9518784,+43d04m28.62s,43.0746172,610.3260000
Kepler-184 c,Kepler-184,1,Transit,20.30300500,0.141000,1.970,8.80000,29.88,630,5788.00,0.87,0.97,19h27m48.45s,291.9518784,+43d04m28.62s,43.0746172,610.3260000
Kepler-184 d,Kepler-184,1,Transit,29.02235800,0.179000,2.490,6.76000,18.56,559,5788.00,0.87,0.97,19h27m48.45s,291.9518784,+43d04m28.62s,43.0746172,610.3260000
Kepler-185 b,Kepler-185,1,Transit,1.63290000,0.026000,1.170,1.71000,475.51,1237,5208.00,0.81,0.81,18h49m52.36s,282.4681674,+43d53m23.81s,43.8899464,466.7350000
Kepler-185 c,Kepler-185,1,Transit,20.72904200,0.139000,2.020,4.74000,16.03,530,5208.00,0.81,0.81,18h49m52.36s,282.4681674,+43d53m23.81s,43.8899464,466.7350000
Kepler-186 b,Kepler-186,1,Transit,3.88679070,0.034300,1.070,1.24000,37.37,571,3788.00,0.47,0.48,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000
Kepler-186 c,Kepler-186,1,Transit,7.26730200,0.045100,1.250,2.10000,13.98,464,3788.00,0.47,0.48,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000
Kepler-186 d,Kepler-186,1,Transit,13.34299600,0.078100,1.400,2.54000,7.20,379,3788.00,0.47,0.48,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000
Kepler-186 e,Kepler-186,1,Transit,22.40770400,0.110000,1.270,2.15000,3.61,319,3788.00,0.47,0.48,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000
Kepler-186 f,Kepler-186,1,Transit,129.94410000,0.432000,1.170,1.71000,0.30,177,3755.00,0.52,0.54,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000
Kepler-187 b,Kepler-187,1,Transit,4.93886400,0.059000,1.410,2.57000,902.24,1244,6105.00,1.29,1.11,19h59m11.16s,299.7964955,+44d05m21.28s,44.0892448,1143.0000000
Kepler-187 c,Kepler-187,1,Transit,10.64026300,0.099000,2.670,7.61000,324.13,963,6105.00,1.29,1.11,19h59m11.16s,299.7964955,+44d05m21.28s,44.0892448,1143.0000000
Kepler-188 b,Kepler-188,1,Transit,2.06189700,0.032000,1.680,3.46000,1069.23,1463,6021.00,1.14,0.98,18h45m07.13s,281.2797173,+44d18m55.71s,44.3154743,968.5440000
Kepler-188 c,Kepler-188,1,Transit,5.99655300,0.066000,3.190,10.30000,257.35,1025,6021.00,1.14,0.98,18h45m07.13s,281.2797173,+44d18m55.71s,44.3154743,968.5440000
Kepler-189 b,Kepler-189,1,Transit,10.39993100,0.088000,1.210,1.92000,45.39,678,5235.00,0.75,0.79,19h10m15.51s,287.5646296,+44d18m18.24s,44.3050662,591.5340000
Kepler-189 c,Kepler-189,1,Transit,20.13486600,0.137000,2.380,22.70000,18.81,544,5235.00,0.75,0.79,19h10m15.51s,287.5646296,+44d18m18.24s,44.3050662,591.5340000
Kepler-19 b,Kepler-19,1,Transit,9.28716000,0.083500,2.209,8.40000,93.54,762,5544.00,0.86,0.94,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000
Kepler-19 c,Kepler-19,1,Transit Timing Variations,28.73100000,,3.680,13.10000,,,5544.00,0.86,0.94,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000
Kepler-19 d,Kepler-19,1,Radial Velocity,62.95000000,,5.060,22.50000,,,5544.00,0.86,0.94,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000
Kepler-190 b,Kepler-190,1,Transit,2.01999900,0.030000,1.560,3.05000,417.24,1166,5106.00,0.80,0.86,19h14m20.15s,288.5839761,+44d44m01.57s,44.7337701,433.3870000
Kepler-190 c,Kepler-190,1,Transit,3.76302400,0.045000,1.460,2.73000,181.70,948,5106.00,0.80,0.86,19h14m20.15s,288.5839761,+44d44m01.57s,44.7337701,433.3870000
Kepler-191 b,Kepler-191,1,Transit,9.93963200,0.087000,1.340,2.36000,64.29,722,5282.00,0.79,0.81,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000
Kepler-191 c,Kepler-191,1,Transit,17.73850600,0.128000,1.860,4.12000,29.74,596,5282.00,0.79,0.81,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000
Kepler-191 d,Kepler-191,1,Transit,5.94504102,0.059900,2.280,5.82000,127.64,857,5215.00,0.80,0.84,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000
Kepler-192 b,Kepler-192,1,Transit,9.92674600,0.090000,2.740,7.95000,105.30,803,5479.00,1.01,0.94,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000
Kepler-192 c,Kepler-192,1,Transit,21.22340000,0.150000,2.790,8.20000,38.22,623,5479.00,1.01,0.94,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000
Kepler-192 d,Kepler-192,1,Transit,6.47027579,0.066800,1.020,1.04000,186.08,926,5487.00,0.94,0.94,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000
Kepler-193 b,Kepler-193,1,Transit,11.38848000,0.106000,2.390,6.30000,117.30,979,6335.00,1.15,1.14,19h45m59.66s,296.4985951,+46d34m38.09s,46.5772484,1009.1000000
Kepler-193 c,Kepler-193,1,Transit,50.69749400,0.286000,2.750,8.00000,16.03,595,6335.00,1.15,1.14,19h45m59.66s,296.4985951,+46d34m38.09s,46.5772484,1009.1000000
Kepler-194 b,Kepler-194,1,Transit,2.09228100,0.032000,1.510,2.89000,953.17,1648,6089.00,1.02,1.09,19h27m53.14s,291.9714290,+47d51m50.58s,47.8640498,1097.9700000
Kepler-194 c,Kepler-194,1,Transit,17.30803200,0.131000,2.590,7.22000,56.95,815,6089.00,1.02,1.09,19h27m53.14s,291.9714290,+47d51m50.58s,47.8640498,1097.9700000
Kepler-194 d,Kepler-194,1,Transit,52.81497300,0.275000,2.400,6.35000,12.86,562,6089.00,1.02,1.09,19h27m53.14s,291.9714290,+47d51m50.58s,47.8640498,1097.9700000
Kepler-195 b,Kepler-195,1,Transit,8.30787200,0.077000,2.030,4.78000,74.15,751,5329.00,0.78,0.84,19h12m29.02s,288.1209339,+47d57m59.81s,47.9666141,652.0510000
Kepler-195 c,Kepler-195,1,Transit,34.09686300,0.197000,1.550,3.02000,11.28,469,5329.00,0.78,0.84,19h12m29.02s,288.1209339,+47d57m59.81s,47.9666141,652.0510000
Kepler-196 b,Kepler-196,1,Transit,20.73988600,0.138000,1.900,4.27000,20.73,536,5128.00,0.78,0.85,18h59m52.44s,284.9685077,+42d04m44.84s,42.0791214,451.3120000
Kepler-196 c,Kepler-196,1,Transit,47.42773700,0.240000,2.240,5.65000,6.88,407,5128.00,0.78,0.85,18h59m52.44s,284.9685077,+42d04m44.84s,42.0791214,451.3120000
Kepler-197 b,Kepler-197,2,Transit,5.59930800,0.060000,1.020,1.04000,431.26,1142,6004.00,1.12,0.86,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.5750000
Kepler-197 c,Kepler-197,2,Transit,10.34969500,0.090000,1.230,5.30000,189.97,930,6004.00,1.12,0.86,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.5750000
Kepler-197 d,Kepler-197,2,Transit,15.67756300,0.119000,1.220,1.98000,109.09,810,6004.00,1.12,0.86,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.5750000
Kepler-197 e,Kepler-197,2,Transit,25.20971500,0.164000,0.910,0.69300,57.94,691,6004.00,1.12,0.86,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.5750000
Kepler-198 b,Kepler-198,1,Transit,17.79003700,0.131000,2.820,8.35000,44.55,655,5574.00,0.94,0.97,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000
Kepler-198 c,Kepler-198,1,Transit,49.56741600,0.259000,2.470,6.66000,11.35,465,5574.00,0.94,0.97,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000
Kepler-198 d,Kepler-198,1,Transit,1.31184443,0.022900,1.530,2.96000,1444.52,1562,5636.00,0.93,0.97,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000
Kepler-199 b,Kepler-199,1,Transit,23.63760400,0.158000,3.110,9.85000,31.68,595,5644.00,0.97,0.96,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000
Kepler-199 c,Kepler-199,1,Transit,67.09340800,0.316000,3.250,10.60000,7.88,420,5644.00,0.97,0.96,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000
Kepler-20 b,Kepler-20,2,Transit,3.69611525,0.046300,1.868,9.70000,324.11,1105,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-20 c,Kepler-20,2,Transit,10.85409089,0.094900,3.047,12.75000,77.02,772,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-20 d,Kepler-20,2,Transit,77.61130017,0.350600,2.744,10.07000,5.59,401,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-20 e,Kepler-20,2,Transit,6.09852281,0.063900,0.865,3.08000,166.00,1040,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-20 f,Kepler-20,2,Transit,19.57758478,0.139600,1.003,14.30000,35.07,705,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-20 g,Kepler-20,2,Radial Velocity,34.94000000,0.205500,4.710,19.96000,,524,5495.00,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000
Kepler-200 b,Kepler-200,1,Transit,8.59480500,0.080000,2.130,5.18000,159.07,854,5678.00,0.94,0.98,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,665.9120000
Kepler-200 c,Kepler-200,1,Transit,10.22215700,0.090000,1.590,3.15000,126.36,806,5678.00,0.94,0.98,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,665.9120000
Kepler-201 b,Kepler-201,1,Transit,25.67208300,0.175000,2.460,6.62000,64.55,683,6065.00,1.23,1.18,19h34m30.25s,293.6260590,+41d16m22.08s,41.2728004,636.4450000
Kepler-201 c,Kepler-201,1,Transit,151.88405800,0.573000,2.850,8.50000,6.03,378,6065.00,1.23,1.18,19h34m30.25s,293.6260590,+41d16m22.08s,41.2728004,636.4450000
Kepler-202 b,Kepler-202,1,Transit,4.06942700,0.045000,1.630,3.29000,108.50,802,4668.00,0.67,0.68,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.1110000
Kepler-202 c,Kepler-202,1,Transit,16.28249300,0.113000,1.850,4.08000,17.07,505,4668.00,0.67,0.68,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.1110000
Kepler-203 b,Kepler-203,1,Transit,3.16269700,0.043000,2.570,7.13000,668.22,1308,5821.00,1.11,1.00,19h48m21.59s,297.0899590,+41d23m17.05s,41.3880686,703.3020000
Kepler-203 c,Kepler-203,1,Transit,5.37064700,0.061000,2.470,749.90000,329.79,1096,5821.00,1.11,1.00,19h48m21.59s,297.0899590,+41d23m17.05s,41.3880686,703.3020000
Kepler-203 d,Kepler-203,1,Transit,11.32972000,0.100000,1.440,33.90000,121.82,855,5821.00,1.11,1.00,19h48m21.59s,297.0899590,+41d23m17.05s,41.3880686,703.3020000
Kepler-204 b,Kepler-204,1,Transit,14.40097400,0.117000,2.530,6.94000,79.70,828,5812.00,1.24,1.03,19h01m23.32s,285.3471620,+41d45m42.64s,41.7618450,686.7230000
Kepler-204 c,Kepler-204,1,Transit,25.66059300,0.173000,1.790,3.86000,36.89,683,5812.00,1.24,1.03,19h01m23.32s,285.3471620,+41d45m42.64s,41.7618450,686.7230000
Kepler-205 b,Kepler-205,1,Transit,2.75564000,0.032000,1.510,2.89000,102.56,757,4321.00,0.55,0.59,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.7200000
Kepler-205 c,Kepler-205,1,Transit,20.30654600,0.122000,1.640,3.33000,7.14,389,4321.00,0.55,0.59,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.7200000
Kepler-206 b,Kepler-206,1,Transit,7.78198700,0.078000,1.200,1.87000,192.27,983,5764.00,1.19,1.05,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.4470000
Kepler-206 c,Kepler-206,1,Transit,13.13747100,0.111000,1.770,3.78000,95.51,825,5764.00,1.19,1.05,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.4470000
Kepler-206 d,Kepler-206,1,Transit,23.44281000,0.163000,1.190,1.81000,44.17,681,5764.00,1.19,1.05,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.4470000
Kepler-207 b,Kepler-207,1,Transit,1.61186500,0.029000,1.570,3.09000,4097.32,1930,5920.00,1.59,1.04,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.5190000
Kepler-207 c,Kepler-207,1,Transit,3.07157100,0.044000,1.500,2.86000,1742.71,1556,5920.00,1.59,1.04,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.5190000
Kepler-207 d,Kepler-207,1,Transit,5.86807500,0.068000,3.310,11.00000,732.60,1254,5920.00,1.59,1.04,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.5190000
Kepler-208 b,Kepler-208,1,Transit,4.22864000,0.054000,1.630,3.29000,639.58,1379,6092.00,1.31,1.16,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.3280000
Kepler-208 c,Kepler-208,1,Transit,7.46662300,0.079000,1.390,2.51000,300.17,1141,6092.00,1.31,1.16,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.3280000
Kepler-208 d,Kepler-208,1,Transit,11.13178600,0.103000,1.200,1.87000,176.28,999,6092.00,1.31,1.16,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.3280000
Kepler-208 e,Kepler-208,1,Transit,16.25945800,0.132000,1.480,2.79000,106.34,880,6092.00,1.31,1.16,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.3280000
Kepler-209 b,Kepler-209,1,Transit,16.08784500,0.122000,2.260,5.73000,48.66,668,5513.00,0.94,0.93,19h24m40.67s,291.1694567,+42d38m26.62s,42.6407281,576.9460000
Kepler-209 c,Kepler-209,1,Transit,41.74988200,0.231000,3.100,9.80000,13.64,486,5513.00,0.94,0.93,19h24m40.67s,291.1694567,+42d38m26.62s,42.6407281,576.9460000
Kepler-21 b,Kepler-21,2,Transit,2.78578000,0.042717,1.639,5.08000,3021.19,2025,6305.00,1.90,1.41,19h09m26.87s,287.3619673,+38d42m50.90s,38.7141384,108.5220000
Kepler-210 b,Kepler-210,1,Transit,2.45323400,0.032000,2.940,8.96000,122.14,737,4559.00,0.65,0.77,19h30m00.82s,292.5034196,+43d04m59.59s,43.0832188,232.7500000
Kepler-210 c,Kepler-210,1,Transit,7.97251300,0.070000,3.620,12.80000,25.44,497,4559.00,0.65,0.77,19h30m00.82s,292.5034196,+43d04m59.59s,43.0832188,232.7500000
Kepler-211 b,Kepler-211,1,Transit,4.13857500,0.048000,1.260,2.13000,158.19,954,5123.00,0.82,0.90,19h01m45.39s,285.4391183,+43d10m06.62s,43.1685051,309.3530000
Kepler-211 c,Kepler-211,1,Transit,6.04045000,0.062000,1.290,18.30000,95.44,841,5123.00,0.82,0.90,19h01m45.39s,285.4391183,+43d10m06.62s,43.1685051,309.3530000
Kepler-212 b,Kepler-212,1,Transit,16.25758200,0.133000,1.090,1.32000,133.87,830,5852.00,1.46,1.17,19h10m29.00s,287.6208165,+43d08m29.85s,43.1416239,687.1940000
Kepler-212 c,Kepler-212,1,Transit,31.80517400,0.207000,2.740,7.95000,54.66,664,5852.00,1.46,1.17,19h10m29.00s,287.6208165,+43d08m29.85s,43.1416239,687.1940000
Kepler-213 b,Kepler-213,1,Transit,2.46236000,0.036000,1.620,3.26000,833.47,1326,5696.00,1.20,1.07,19h23m17.81s,290.8241931,+44d38m50.22s,44.6472832,634.9390000
Kepler-213 c,Kepler-213,1,Transit,4.82296200,0.057000,2.340,6.08000,339.54,1060,5696.00,1.20,1.07,19h23m17.81s,290.8241931,+44d38m50.22s,44.6472832,634.9390000
Kepler-214 b,Kepler-214,1,Transit,15.66054400,0.130000,2.610,7.32000,196.40,758,6169.00,1.35,1.11,18h59m01.16s,284.7548499,+44d57m21.78s,44.9560500,1208.4400000
Kepler-214 c,Kepler-214,1,Transit,28.77980000,0.194000,2.130,5.18000,87.24,619,6169.00,1.35,1.11,18h59m01.16s,284.7548499,+44d57m21.78s,44.9560500,1208.4400000
Kepler-215 b,Kepler-215,1,Transit,9.36067200,0.084000,1.620,3.26000,105.07,784,5739.00,1.03,0.94,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000
Kepler-215 c,Kepler-215,1,Transit,14.66710800,0.113000,1.770,3.78000,57.69,675,5739.00,1.03,0.94,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000
Kepler-215 d,Kepler-215,1,Transit,30.86442300,0.185000,2.390,23.60000,21.40,527,5739.00,1.03,0.94,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000
Kepler-215 e,Kepler-215,1,Transit,68.16101000,0.314000,1.750,3.71000,7.44,405,5739.00,1.03,0.94,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000
Kepler-216 b,Kepler-216,1,Transit,7.69364100,0.079000,2.350,6.12000,540.03,1069,6091.00,1.26,1.11,19h34m54.74s,293.7280695,+46d07m44.81s,46.1291139,1187.4700000
Kepler-216 c,Kepler-216,1,Transit,17.40666900,0.136000,3.040,9.48000,182.06,814,6091.00,1.26,1.11,19h34m54.74s,293.7280695,+46d07m44.81s,46.1291139,1187.4700000
Kepler-217 b,Kepler-217,1,Transit,5.37494300,0.065000,2.230,5.60000,1366.48,1413,6171.00,1.80,1.14,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.6400000
Kepler-217 c,Kepler-217,1,Transit,8.58600400,0.089000,1.850,4.08000,730.81,1208,6171.00,1.80,1.14,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.6400000
Kepler-217 d,Kepler-217,1,Transit,3.88689525,0.050500,1.320,2.30000,2099.75,1574,6341.00,1.76,1.37,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.6400000
Kepler-218 b,Kepler-218,1,Transit,3.61933700,0.046000,1.480,2.79000,460.66,1156,5502.00,1.06,1.02,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.3800000
Kepler-218 c,Kepler-218,1,Transit,44.69957600,0.248000,3.140,10.00000,16.15,500,5502.00,1.06,1.02,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.3800000
Kepler-218 d,Kepler-218,1,Transit,124.52446470,0.486500,2.660,7.56000,4.12,356,5542.00,1.02,1.01,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.3800000
Kepler-219 b,Kepler-219,1,Transit,4.58551200,0.057000,2.950,9.01000,456.73,1307,5786.00,1.49,1.17,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.0700000
Kepler-219 c,Kepler-219,1,Transit,22.71461300,0.165000,3.580,12.50000,54.10,766,5786.00,1.49,1.17,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.0700000
Kepler-219 d,Kepler-219,1,Transit,47.90364500,0.272000,2.810,19.10000,20.01,598,5786.00,1.49,1.17,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.0700000
Kepler-22 b,Kepler-22,1,Transit,289.86230000,0.849000,2.380,36.00000,0.96,262,5518.00,0.98,0.97,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.6420000
Kepler-220 b,Kepler-220,1,Transit,4.15980700,0.046000,0.810,0.45700,105.00,759,4632.00,0.67,0.65,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.1090000
Kepler-220 c,Kepler-220,1,Transit,9.03419900,0.076000,1.570,3.09000,37.32,586,4632.00,0.67,0.65,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.1090000
Kepler-220 d,Kepler-220,1,Transit,28.12239700,0.163000,0.980,0.90400,8.21,401,4632.00,0.67,0.65,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.1090000
Kepler-220 e,Kepler-220,1,Transit,45.90273300,0.226000,1.330,2.33000,4.27,341,4632.00,0.67,0.65,19h26m01.45s,291.5060432,+46d53m44.25s,46.8956262,171.1090000
Kepler-221 b,Kepler-221,1,Transit,2.79590600,0.037000,1.710,3.57000,308.88,1090,5243.00,0.82,0.82,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.2310000
Kepler-221 c,Kepler-221,1,Transit,5.69058600,0.059000,2.930,15.10000,119.84,860,5243.00,0.82,0.82,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.2310000
Kepler-221 d,Kepler-221,1,Transit,10.04156000,0.087000,2.730,7.90000,56.29,712,5243.00,0.82,0.82,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.2310000
Kepler-221 e,Kepler-221,1,Transit,18.36991700,0.130000,2.630,7.41000,25.16,582,5243.00,0.82,0.82,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.2310000
Kepler-222 b,Kepler-222,1,Transit,3.93698100,0.048000,3.160,10.10000,206.77,1004,5433.00,0.87,0.88,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.8540000
Kepler-222 c,Kepler-222,1,Transit,10.08881000,0.091000,4.640,19.40000,59.08,734,5433.00,0.87,0.88,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.8540000
Kepler-222 d,Kepler-222,1,Transit,28.08191200,0.180000,3.690,13.20000,15.09,522,5433.00,0.87,0.88,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.8540000
Kepler-223 b,Kepler-223,1,Transit,7.38449000,0.075600,2.990,7.40000,444.05,1042,5803.00,1.72,1.12,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000
Kepler-223 c,Kepler-223,1,Transit,9.84564000,0.091600,3.440,5.10000,302.47,947,5803.00,1.72,1.12,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000
Kepler-223 d,Kepler-223,1,Transit,14.78869000,0.120100,5.240,8.00000,175.95,827,5803.00,1.72,1.12,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000
Kepler-223 e,Kepler-223,1,Transit,19.72567000,0.145500,4.600,4.80000,119.88,751,5803.00,1.72,1.12,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000
Kepler-224 b,Kepler-224,1,Transit,3.13292400,0.038000,1.390,2.51000,201.49,937,5018.00,0.68,0.82,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.0880000
Kepler-224 c,Kepler-224,1,Transit,5.92500300,0.058000,3.120,9.91000,86.33,758,5018.00,0.68,0.82,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.0880000
Kepler-224 d,Kepler-224,1,Transit,11.34939300,0.089000,2.300,5.90000,36.29,610,5018.00,0.68,0.82,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.0880000
